谱信息：
开始时间,20:01:00
测量时间,168.079
死时间,12.616
总计数,3154083
通道1道址,通道1计数,通道2道址,通道2计数
442,4935,442,4876
443,4841,443,4906
444,4838,444,4912
445,5049,445,4925
446,5043,446,4924
447,5097,447,5291
448,5369,448,5325
449,5573,449,5635
450,5742,450,5738
451,5675,451,5728
452,5802,452,5944
453,6037,453,5966
454,6015,454,6108
455,6231,455,6084
456,6151,456,6052
457,6199,457,6031
458,6073,458,6197
459,6118,459,6163
460,6184,460,6239
461,6315,461,6302
462,6143,462,6334
463,6180,463,6295
464,6318,464,6422
465,6357,465,6449
466,6365,466,6442
467,6227,467,6333
468,6321,468,6312
469,6312,469,6217
470,6455,470,6314
471,6198,471,6185
472,6200,472,6277
473,6278,473,6399
474,6314,474,6365
475,6365,475,6404
476,6197,476,6425
477,6232,477,6374
478,6442,478,6238
479,6430,479,6427
480,6411,480,6411
481,6424,481,6247
482,6353,482,6407
483,6448,483,6340
484,6189,484,6452
485,6351,485,6473
486,6346,486,6356
487,6380,487,6332
488,6399,488,6313
489,6126,489,6329
490,6546,490,6478
491,6529,491,6514
492,6397,492,6400
493,6374,493,6411
494,6441,494,6320
495,6399,495,6290
496,6451,496,6454
497,6278,497,6384
498,6266,498,6279
499,6518,499,6506
500,6442,500,6195
501,6463,501,6432
502,6446,502,6373
503,6368,503,6361
504,6359,504,6325
505,6312,505,6399
506,6533,506,6506
507,6233,507,6384
508,6388,508,6423
509,6381,509,6346
510,6356,510,6295
511,6380,511,6320
