谱信息：
开始时间,20:17:20
测量时间,82.607
死时间,0.396
总计数,99047
最大值,10033
Life通道道址,Life通道计数,Start通道道址,Start通道计数,Stop通道道址,Stop通道计数
367,0,367,2206,367,1380
368,0,368,2172,368,1370
369,2,369,2247,369,1338
370,1,370,2201,370,1299
371,2,371,2178,371,1430
372,1,372,2222,372,1272
373,1,373,2166,373,1384
374,0,374,2117,374,1342
375,2,375,2269,375,1337
376,2,376,2192,376,1331
377,0,377,2278,377,1318
378,1,378,2255,378,1426
379,0,379,2221,379,1350
380,0,380,2152,380,1409
381,3,381,2208,381,1337
382,2,382,2247,382,1368
383,1,383,2205,383,1392
384,0,384,2197,384,1441
385,1,385,2156,385,1369
386,1,386,2190,386,1412
387,1,387,2215,387,1447
388,0,388,2177,388,1341
389,2,389,2327,389,1436
390,0,390,2277,390,1387
391,0,391,2184,391,1363
392,1,392,2254,392,1372
393,0,393,2218,393,1444
394,0,394,2276,394,1396
395,1,395,2301,395,1374
396,1,396,2254,396,1397
397,0,397,2266,397,1403
398,0,398,2267,398,1356
399,0,399,2294,399,1383
400,0,400,2261,400,1417
401,1,401,2308,401,1352
402,1,402,2325,402,1398
403,0,403,2339,403,1524
404,0,404,2250,404,1451
405,1,405,2315,405,1407
406,0,406,2328,406,1345
407,2,407,2286,407,1334
408,0,408,2194,408,1428
409,3,409,2204,409,1444
410,1,410,2214,410,1429
411,0,411,2273,411,1371
412,0,412,2226,412,1462
413,1,413,2268,413,1508
414,0,414,2218,414,1479
415,2,415,2295,415,1432
416,1,416,2307,416,1435
417,0,417,2229,417,1514
418,1,418,2359,418,1472
419,0,419,2292,419,1502
420,0,420,2231,420,1516
421,2,421,2286,421,1496
422,0,422,2306,422,1457
423,1,423,2290,423,1482
424,0,424,2367,424,1500
425,1,425,2289,425,1473
426,1,426,2442,426,1375
427,0,427,2283,427,1529
428,0,428,2283,428,1510
429,0,429,2335,429,1422
430,0,430,2380,430,1536
431,0,431,2304,431,1501
432,0,432,2345,432,1484
433,0,433,2355,433,1453
434,0,434,2451,434,1507
435,1,435,2348,435,1424
436,1,436,2385,436,1438
437,0,437,2302,437,1488
438,0,438,2357,438,1418
439,2,439,2392,439,1479
440,2,440,2396,440,1445
441,1,441,2429,441,1414
442,1,442,2386,442,1425
443,3,443,2276,443,1510
444,2,444,2370,444,1456
445,2,445,2375,445,1503
446,1,446,2410,446,1400
447,3,447,2330,447,1454
448,2,448,2408,448,1469
449,1,449,2478,449,1493
450,2,450,2426,450,1499
451,0,451,2359,451,1478
452,0,452,2453,452,1418
453,1,453,2458,453,1440
454,1,454,2520,454,1510
455,0,455,2360,455,1477
456,1,456,2450,456,1495
457,0,457,2443,457,1452
458,0,458,2421,458,1489
459,1,459,2478,459,1406
460,1,460,2408,460,1484
461,1,461,2494,461,1501
462,0,462,2437,462,1489
463,1,463,2482,463,1428
464,1,464,2454,464,1466
465,0,465,2471,465,1513
466,1,466,2540,466,1489
467,0,467,2520,467,1438
468,2,468,2424,468,1497
469,2,469,2504,469,1427
470,1,470,2434,470,1419
471,1,471,2406,471,1536
472,1,472,2584,472,1525
473,0,473,2543,473,1444
474,1,474,2471,474,1502
475,0,475,2535,475,1466
