μ子数据
开始时间,19:34:47
测量时间,79.4
μ子衰变数,1411
μ子通量数,102
日期时间,μ子寿命
20221205 19:35:03,3.88
20221205 19:35:03,0.73
20221205 19:35:03,5
20221205 19:35:03,1.13
20221205 19:35:03,0.68
20221205 19:35:03,0.89
20221205 19:35:03,2.85
20221205 19:35:03,0.52
20221205 19:35:03,4.44
20221205 19:35:03,1.01
20221205 19:35:03,0.28
20221205 19:35:03,0.43
20221205 19:35:03,1.63
20221205 19:35:04,1.62
20221205 19:35:04,4.05
20221205 19:35:04,0.1
20221205 19:35:04,0.31
20221205 19:35:04,2.16
20221205 19:35:04,0.95
20221205 19:35:04,6.22
20221205 19:35:04,0.44
20221205 19:35:04,0.71
20221205 19:35:04,5.15
20221205 19:35:04,1.52
20221205 19:35:04,0.42
20221205 19:35:04,0.5
20221205 19:35:04,1.35
20221205 19:35:04,6.21
20221205 19:35:04,6.49
20221205 19:35:04,0.19
20221205 19:35:04,1.69
20221205 19:35:04,4.16
20221205 19:35:04,0.9
20221205 19:35:04,0.61
20221205 19:35:05,0.92
20221205 19:35:05,1.77
20221205 19:35:05,2.18
20221205 19:35:05,1.29
20221205 19:35:05,2.67
20221205 19:35:05,0.93
20221205 19:35:05,4
20221205 19:35:05,2.02
20221205 19:35:05,0.79
20221205 19:35:05,2.32
20221205 19:35:05,0.3
20221205 19:35:05,3.12
20221205 19:35:05,1.7
20221205 19:35:05,1.17
20221205 19:35:05,0.16
20221205 19:35:05,0.75
20221205 19:35:05,1.62
20221205 19:35:05,2.25
20221205 19:35:05,2.15
20221205 19:35:05,0.11
20221205 19:35:05,0.27
20221205 19:35:05,3.98
20221205 19:35:05,1.57
20221205 19:35:05,1.18
20221205 19:35:06,0.66
20221205 19:35:06,2.55
20221205 19:35:06,1.26
20221205 19:35:06,5.32
20221205 19:35:06,0.64
20221205 19:35:06,0.38
20221205 19:35:06,2.85
20221205 19:35:06,3.29
20221205 19:35:06,4.89
20221205 19:35:06,0.14
20221205 19:35:06,1.02
20221205 19:35:06,7.81
20221205 19:35:06,2.06
20221205 19:35:06,1.6
20221205 19:35:06,1.51
20221205 19:35:06,3.01
20221205 19:35:06,1.33
20221205 19:35:06,0.22
20221205 19:35:06,1.14
20221205 19:35:06,1.44
20221205 19:35:07,7.88
20221205 19:35:07,1.87
20221205 19:35:07,2.06
20221205 19:35:07,0.52
20221205 19:35:07,0.21
20221205 19:35:07,3.41
20221205 19:35:07,1.3
20221205 19:35:07,9.47
20221205 19:35:07,0.46
20221205 19:35:07,2.41
20221205 19:35:07,0.33
20221205 19:35:07,2.72
20221205 19:35:07,0.99
20221205 19:35:07,0.17
20221205 19:35:07,3.42
20221205 19:35:07,1.27
20221205 19:35:07,0.68
20221205 19:35:07,0.61
20221205 19:35:07,0.42
20221205 19:35:07,3.1
20221205 19:35:07,5.34
20221205 19:35:07,3.19
20221205 19:35:08,0.47
20221205 19:35:08,1.3
20221205 19:35:08,7.92
20221205 19:35:08,1.16
20221205 19:35:08,1.33
20221205 19:35:08,0.14
20221205 19:35:08,2.13
20221205 19:35:08,0.86
20221205 19:35:08,1.46
20221205 19:35:08,1.02
20221205 19:35:08,0.5
20221205 19:35:08,0.16
20221205 19:35:08,0.26
20221205 19:35:08,4.66
20221205 19:35:08,1.16
20221205 19:35:08,0.25
20221205 19:35:08,1.19
20221205 19:35:09,8.94
20221205 19:35:09,1.04
20221205 19:35:09,0.37
20221205 19:35:09,2.59
20221205 19:35:09,0.22
20221205 19:35:09,1.12
20221205 19:35:09,1.48
20221205 19:35:09,3.3
20221205 19:35:09,0.91
20221205 19:35:09,0.29
20221205 19:35:09,2.1
20221205 19:35:09,0.58
20221205 19:35:09,2.95
20221205 19:35:09,0.2
20221205 19:35:09,0.6
20221205 19:35:09,1.26
20221205 19:35:09,4.78
20221205 19:35:09,2.68
20221205 19:35:09,1.63
20221205 19:35:09,1.51
20221205 19:35:09,3.47
20221205 19:35:09,1.58
20221205 19:35:09,3.2
20221205 19:35:10,0.33
20221205 19:35:10,2.51
20221205 19:35:10,1.32
20221205 19:35:10,2.47
20221205 19:35:10,1.45
20221205 19:35:10,0.67
20221205 19:35:10,3.67
20221205 19:35:10,3.4
20221205 19:35:10,1.44
20221205 19:35:10,1.94
20221205 19:35:10,0.1
20221205 19:35:10,5.77
20221205 19:35:10,3.12
20221205 19:35:10,1.88
20221205 19:35:10,2.48
20221205 19:35:10,0.58
20221205 19:35:10,0.98
20221205 19:35:10,8.96
20221205 19:35:10,0.32
20221205 19:35:11,0.65
20221205 19:35:11,0.77
20221205 19:35:11,4.85
20221205 19:35:11,0.78
20221205 19:35:11,6.07
20221205 19:35:11,2.58
20221205 19:35:11,2.47
20221205 19:35:11,0.37
20221205 19:35:11,0.85
20221205 19:35:11,2.48
20221205 19:35:11,0.89
20221205 19:35:11,1.06
20221205 19:35:11,4.91
20221205 19:35:11,0.17
20221205 19:35:11,2.56
20221205 19:35:12,1.82
20221205 19:35:12,0.9
20221205 19:35:12,0.64
20221205 19:35:12,1.55
20221205 19:35:12,4.42
20221205 19:35:12,0.21
20221205 19:35:12,7.02
20221205 19:35:12,1.07
20221205 19:35:12,2.52
20221205 19:35:12,0.55
20221205 19:35:12,1.6
20221205 19:35:12,0.12
20221205 19:35:12,0.2
20221205 19:35:12,2.39
20221205 19:35:12,1.53
20221205 19:35:12,0.81
20221205 19:35:13,6.61
20221205 19:35:13,1.97
20221205 19:35:13,1.41
20221205 19:35:13,1.21
20221205 19:35:13,1.04
20221205 19:35:13,4.46
20221205 19:35:13,3.1
20221205 19:35:13,1.56
20221205 19:35:14,1.51
20221205 19:35:14,0.32
20221205 19:35:14,0.81
20221205 19:35:14,1.03
20221205 19:35:14,0.6
20221205 19:35:14,8.27
20221205 19:35:14,5.59
20221205 19:35:14,1.6
20221205 19:35:14,2.67
20221205 19:35:14,0.25
20221205 19:35:14,0.12
20221205 19:35:15,1.62
20221205 19:35:15,0.57
