μ子数据
开始时间,19:22:03
测量时间,592.6
μ子衰变数,10330
μ子通量数,1718
日期时间,μ子寿命
20221205 19:22:29,1.3
20221205 19:22:29,3.76
20221205 19:22:29,4.94
20221205 19:22:29,0.58
20221205 19:22:29,3.86
20221205 19:22:29,7.63
20221205 19:22:29,2.87
20221205 19:22:29,4.84
20221205 19:22:29,1.5
20221205 19:22:29,1.9
20221205 19:22:29,5.41
20221205 19:22:29,0.8
20221205 19:22:29,2.37
20221205 19:22:29,3.91
20221205 19:22:29,2.61
20221205 19:22:30,4.68
20221205 19:22:30,1.22
20221205 19:22:30,1.61
20221205 19:22:30,0.97
20221205 19:22:30,1.86
20221205 19:22:30,0.12
20221205 19:22:30,0.68
20221205 19:22:30,0.31
20221205 19:22:30,0.97
20221205 19:22:30,4.4
20221205 19:22:30,14.21
20221205 19:22:30,2.63
20221205 19:22:30,8.44
20221205 19:22:30,1.52
20221205 19:22:30,0.55
20221205 19:22:30,1.84
20221205 19:22:31,5.37
20221205 19:22:31,3.07
20221205 19:22:31,1.79
20221205 19:22:31,0.46
20221205 19:22:31,2.82
20221205 19:22:31,5.51
20221205 19:22:31,13.46
20221205 19:22:31,0.99
20221205 19:22:31,9.51
20221205 19:22:31,4.03
20221205 19:22:31,2.3
20221205 19:22:31,0.62
20221205 19:22:31,6.41
20221205 19:22:31,3.71
20221205 19:22:31,1.1
20221205 19:22:31,1.21
20221205 19:22:31,1.67
20221205 19:22:31,4.66
20221205 19:22:31,1.24
20221205 19:22:32,0.38
20221205 19:22:32,0.55
20221205 19:22:32,0.79
20221205 19:22:32,2.15
20221205 19:22:32,0.16
20221205 19:22:32,1.24
20221205 19:22:32,2.33
20221205 19:22:32,3.79
20221205 19:22:32,2.38
20221205 19:22:32,0.62
20221205 19:22:32,0.32
20221205 19:22:32,0.82
20221205 19:22:32,4.93
20221205 19:22:32,5.98
20221205 19:22:32,0.26
20221205 19:22:32,5.91
20221205 19:22:33,1.59
20221205 19:22:33,1.38
20221205 19:22:33,0.11
20221205 19:22:33,1.92
20221205 19:22:33,0.47
