通道一计数表：,,,通道二计数表：,,
ID,计数时长(s),计数,ID,计数时长(s),计数
328,0.1,3,328,0.4,19
329,0.1,3,329,0.4,13
330,0.1,5,330,0.4,26
331,0.1,2,331,0.4,21
332,0.1,2,332,0.4,23
333,0.1,6,333,0.4,19
334,0.1,4,334,0.4,29
335,0.1,2,335,0.4,26
336,0.1,3,336,0.4,18
337,0.1,3,337,0.4,26
338,0.1,2,338,0.4,21
339,0.1,1,339,0.4,27
340,0.1,6,340,0.4,19
341,0.1,8,341,0.4,27
342,0.1,4,342,0.4,27
343,0.1,5,343,0.4,24
344,0.1,7,344,0.4,25
345,0.1,2,345,0.4,18
346,0.1,6,346,0.4,28
347,0.1,5,347,0.4,22
348,0.1,5,348,0.4,16
349,0.1,3,349,0.4,18
350,0.1,7,350,0.4,20
351,0.1,5,351,0.4,21
352,0.1,3,352,0.4,29
353,0.1,3,353,0.4,20
354,0.1,8,354,0.4,24
355,0.1,2,355,0.4,18
356,0.1,5,356,0.4,17
357,0.1,6,357,0.4,24
358,0.1,5,358,0.4,36
359,0.1,2,359,0.4,20
360,0.1,4,360,0.4,31
361,0.1,4,361,0.4,27
362,0.1,3,362,0.4,28
363,0.1,7,363,0.4,28
364,0.1,4,364,0.4,21
365,0.1,5,365,0.4,19
366,0.1,2,366,0.4,17
367,0.1,8,367,0.4,18
368,0.1,7,368,0.4,27
369,0.1,4,369,0.4,26
370,0.1,6,370,0.4,14
371,0.1,4,371,0.4,23
372,0.1,6,372,0.4,27
373,0.1,6,373,0.4,27
374,0.1,3,374,0.4,17
375,0.1,6,375,0.4,24
376,0.1,4,376,0.4,23
377,0.1,3,377,0.4,23
378,0.1,7,378,0.4,19
379,0.1,6,379,0.4,25
380,0.1,7,380,0.4,18
381,0.1,6,381,0.4,18
382,0.1,4,382,0.4,23
383,0.1,2,383,0.4,26
384,0.1,6,384,0.4,23
385,0.1,2,385,0.4,25
386,0.1,3,386,0.4,26
387,0.1,4,387,0.4,14
388,0.1,4,388,0.4,17
389,0.1,2,389,0.4,25
390,0.1,3,390,0.4,30
391,0.1,7,391,0.4,12
392,0.1,4,392,0.4,22
393,0.1,8,393,0.4,21
394,0.1,6,394,0.4,24
395,0.1,5,395,0.4,26
396,0.1,8,396,0.4,20
397,0.1,6,397,0.4,23
398,0.1,5,398,0.4,28
399,0.1,6,399,0.4,25
400,0.1,7,400,0.4,21
401,0.1,6,401,0.4,18
402,0.1,3,402,0.4,22
403,0.1,7,403,0.4,32
404,0.1,7,404,0.4,23
405,0.1,3,405,0.4,24
406,0.1,5,406,0.4,28
407,0.1,6,407,0.4,23
408,0.1,4,408,0.4,23
409,0.1,6,409,0.4,26
410,0.1,3,410,0.4,17
411,0.1,3,411,0.4,27
412,0.1,1,412,0.4,25
413,0.1,5,413,0.4,20
414,0.1,6,414,0.4,11
415,0.1,6,415,0.4,25
416,0.1,1,416,0.4,28
417,0.1,5,417,0.4,19
418,0.1,7,418,0.4,35
419,0.1,2,419,0.4,20
420,0.1,8,420,0.4,22
421,0.1,3,421,0.4,21
422,0.1,1,422,0.4,21
423,0.1,5,423,0.4,24
424,0.1,5,424,0.4,20
425,0.1,6,425,0.4,20
426,0.1,9,426,0.4,31
427,0.1,4,427,0.4,28
428,0.1,7,428,0.4,25
429,0.1,1,429,0.4,24
430,0.1,3,430,0.4,23
431,0.1,5,431,0.4,19
432,0.1,1,432,0.4,24
433,0.1,5,433,0.4,23
434,0.1,7,434,0.4,33
435,0.1,2,435,0.4,21
436,0.1,6,436,0.4,24
437,0.1,4,437,0.4,31
438,0.1,7,438,0.4,33
439,0.1,4,439,0.4,29
440,0.1,1,440,0.4,27
441,0.1,6,441,0.4,17
442,0.1,5,442,0.4,19
443,0.1,5,443,0.4,26
444,0.1,6,444,0.4,17
445,0.1,4,445,0.4,21
446,0.1,5,446,0.4,15
447,0.1,5,447,0.4,25
448,0.1,3,448,0.4,22
449,0.1,2,449,0.4,32
450,0.1,7,450,0.4,21
451,0.1,6,451,0.4,29
452,0.1,6,452,0.4,22
453,0.1,5,453,0.4,28
454,0.1,5,454,0.4,18
455,0.1,4,455,0.4,19
456,0.1,4,456,0.4,20
457,0.1,7,457,0.4,23
458,0.1,5,458,0.4,15
459,0.1,2,459,0.4,32
460,0.1,6,460,0.4,30
461,0.1,7,461,0.4,21
462,0.1,2,462,0.4,17
463,0.1,5,463,0.4,27
464,0.1,7,464,0.4,25
465,0.1,4,465,0.4,19
466,0.1,5,466,0.4,28
467,0.1,2,467,0.4,25
468,0.1,5,468,0.4,14
469,0.1,5,469,0.4,16
470,0.1,7,470,0.4,23
471,0.1,6,471,0.4,33
472,0.1,6,472,0.4,21
473,0.1,4,473,0.4,22
474,0.1,4,474,0.4,21
475,0.1,6,475,0.4,25
476,0.1,5,476,0.4,22
477,0.1,7,477,0.4,19
478,0.1,4,478,0.4,22
479,0.1,7,479,0.4,25
480,0.1,6,480,0.4,28
481,0.1,4,481,0.4,32
482,0.1,4,482,0.4,21
483,0.1,4,483,0.4,25
484,0.1,4,484,0.4,22
485,0.1,5,485,0.4,29
486,0.1,3,486,0.4,18
487,0.1,6,487,0.4,23
488,0.1,9,488,0.4,23
489,0.1,4,489,0.4,16
490,0.1,3,490,0.4,35
491,0.1,8,491,0.4,19
492,0.1,5,492,0.4,20
493,0.1,7,493,0.4,17
494,0.1,7,494,0.4,20
495,0.1,1,495,0.4,28
496,0.1,6,496,0.4,18
497,0.1,5,497,0.4,26
498,0.1,5,498,0.4,17
499,0.1,7,499,0.4,27
500,0.1,7,500,0.4,18
501,0.1,6,501,0.4,34
502,0.1,4,502,0.4,25
503,0.1,4,503,0.4,24
504,0.1,9,504,0.4,19
505,0.1,2,505,0.4,18
506,0.1,7,506,0.4,15
507,0.1,8,507,0.4,23
508,0.1,7,508,0.4,28
509,0.1,5,509,0.4,22
510,0.1,4,510,0.4,27
511,0.1,7,511,0.4,23
512,0.1,10,512,0.4,23
513,0.1,4,513,0.4,12
514,0.1,5,514,0.4,20
515,0.1,6,515,0.4,21
516,0.1,4,516,0.4,14
517,0.1,3,517,0.4,25
518,0.1,5,518,0.4,19
519,0.1,0,519,0.4,20
520,0.1,7,520,0.4,17
521,0.1,4,521,0.4,30
522,0.1,2,522,0.4,15
523,0.1,7,523,0.4,16
524,0.1,4,524,0.4,22
525,0.1,9,525,0.4,25
526,0.1,6,526,0.4,19
527,0.1,3,527,0.4,20
528,0.1,5,528,0.4,17
529,0.1,5,529,0.4,23
530,0.1,5,530,0.4,20
531,0.1,4,531,0.4,28
532,0.1,3,532,0.4,14
533,0.1,3,533,0.4,29
534,0.1,2,534,0.4,17
535,0.1,4,535,0.4,25
536,0.1,7,536,0.4,20
537,0.1,2,537,0.4,25
